Name must be shorter than 23 letters! Skipping ('Mohammad Tajwar ALI KHAN', '2016', (32.275000000000006, 108.08))
Name must be shorter than 23 letters! Skipping ('Mohammad Tajwar ALI KHAN', '2016', (32.275000000000006, 108.08))
Name must be shorter than 23 letters! Skipping ('Mohammad Tajwar ALI KHAN', '2016', (445.05, 17.679999999999996))
Name must be shorter than 23 letters! Skipping ('Mohammad Tajwar ALI KHAN', '2016', (32.275000000000006, 108.08))
Name must be shorter than 23 letters! Skipping ('Mohammad Tajwar ALI KHAN', '2016', (477.32500000000005, 23.166666666666668))
Name must be shorter than 23 letters! Skipping ('Mohammad Tajwar ALI KHAN', '2016', (32.275000000000006, 432.32))
Name must be shorter than 23 letters! Skipping ('Mohammad Tajwar ALI KHAN', '2016', (32.275000000000006, 432.32))
Name must be shorter than 23 letters! Skipping ('Mohammad Tajwar ALI KHAN', '2016', (32.275000000000006, 108.08))
Name must be shorter than 23 letters! Skipping ('Mohammad Tajwar ALI KHAN', '2016', (32.275000000000006, 108.08))
Name must be shorter than 23 letters! Skipping ('Mohammad Tajwar ALI KHAN', '2016', (567.725, 426.8333333333333))
Name must be shorter than 23 letters! Skipping ('Mohammad Tajwar ALI KHAN', '2016', (32.275000000000006, 108.08))
Name must be shorter than 23 letters! Skipping ('Mohammad Tajwar ALI KHAN', '2016', (567.725, 426.8333333333333))
Name must be shorter than 23 letters! Skipping ('Mohammad Tajwar ALI KHAN', '2016', (32.275000000000006, 432.32))
